,writing_prompt_id,subtheme,prompt framing,reference,reader identification
0,wp001,"Fantasy and the Supernatural, Mystery and Intrigue, Surprise and Unexpected Outcomes",description,"you, Devil, culinary skills, high-stakes cook-off, soul, extraordinary meal",you
1,wp002,"Power and Control, Fanasy and the Supernatural, Ambivalence and Indecision, Redemption and Forgiveness, Understanding and Empathy. ",combination,"vampire, vampire's daughters, you, fight, weapon",you
2,wp003,"Love and Relationships, Alternate Realities or Parallel Worlds, Loneliness and Connection",description,"human society, vanishings, herds",implicit
3,wp004,"Good vs. Evil, Redemption and Second Chances , Trust and Loyalty, Transformation and Growth, ",description,"supervillain/you, henchman, sidekick of archnemesis, hero",you
4,wp005,"Discovery and Exploration, Power of Imagination, Technology and Innovation and Progress, Escaping life, Time and Perception, Time Travel",description,"you, handheld device, sleep",you
5,wp006,"War and Conflict, Alternate Realities or Parallel Worlds",description,"humans, Sleeping Giant, Galactic Federation, human warships, USS Fuck Around and Find Out, peace talks",implicit
6,wp007,"Good vs. Evil, Power and Corruption, Fantasy and the Supernatural, Ethics and Morality",statement,"wizard, you, party, assassin",you
7,wp008,"Discovery and Exploration, Fantasy and the Supernatural",combination,"you, spelunker, team, light, whisper",you
8,wp009,"Good vs. Evil, Fantasy and the Supernatural, Alternate Realities or Parallel Worlds",description,"everyone, Angels, Devils, you",you
9,wp010,"Good vs. Evil, Redemption and Second Chances, Identity and Self-Discovery, Power and Control",description,"you, secret identity, supervillain, upstart",you
10,wp011,"Fantasy and the Supernatural, Mystery and Intrigue,  Surprise and Unexpected Outcomes",description,"elven children, ceremony, spirit animals, kid, human",implicit
11,wp012,"Good vs. Evil, Fantasy and the Supernatural, mystery and Intrigue, Curiosity and Discovery",conversation,"demon, you",implicit
12,wp013,"Fantasy and the Supernatural, Mystery and Intrigue,  Surprise and Unexpected Outcomes",scenario prompt,"genie, you, poorly-worded wish",you
13,wp014,"Loss and Grief, Challenge and Redemption, Power and Control, Trust and Loyalty, Justice and Morality, Transformation and Metamorphosis, Survival and Resilience, Confrontation and Resolution, Betrayal and Forgiveness, Understanding and Empathy",combination,"you, battlefield, enemy, void",you
14,wp015,"Fantasy and the Supernatural, Mystery and Intrigue,  Surprise and Unexpected Outcomes",scenario prompt,"princess, curse, first husband/you, death, fate, royal family, scapegoat, immortality",you
15,wp016,"Love and Relationships, Fantasy and the Supernatural",scenario prompt,"you/werewolf, SO, ring of pure silver",you
16,wp017,Materialism vs. Spirituality,conversation,"man, palace, golden throne",implicit
17,wp018,"Power and Control, Fantasy and the Supernatural, Time and Perception, Time Travel",scenario prompt,"time-traveling megalomaniac, vendetta, you, timeline, omniscience, multiverse",you
18,wp019,"Death and Afterlife, Transformation and Healing, Unexpected and Contrasting Elements, Fantasy and the Supernatural, Immortality and Mortality",description,"death, Charon, Cerberus",someone
