,hashtag,count,category
0,#writing prompts,131,"Writing, Writing Prompts and Ideas"
1,#writing prompt,117,"Writing, Writing Prompts and Ideas"
2,#writing,104,"Writing, Writing Prompts and Ideas"
3,#writeblr,57,Writing Community
4,#prompts,55,"Writing, Writing Prompts and Ideas"
5,#writing inspiration,40,Writing Inspiration
6,#prompt,35,"Writing, Writing Prompts and Ideas"
7,#writers on tumblr,32,Writing Community
8,#prompt list,30,"Writing, Writing Prompts and Ideas"
9,#dialogue prompt,29,"Writing, Writing Prompts and Ideas"
10,#writing ideas,29,"Writing, Writing Prompts and Ideas"
11,#creativepromptsforwriting,25,Self-Reference
12,#creative writing,23,"Writing, Writing Prompts and Ideas"
13,#daily writing prompt,23,"Writing, Writing Prompts and Ideas"
14,#story prompt,22,"Writing, Writing Prompts and Ideas"
15,#reblog,21,Interactive and Engaging
16,#promptsforthestrugglingauthor,20,Self-Reference
17,#oc prompt,19,"Writing, Writing Prompts and Ideas"
18,#story ideas,18,"Writing, Writing Prompts and Ideas"
19,#creative writing prompt,18,"Writing, Writing Prompts and Ideas"
20,#story inspo,16,Writing Inspiration
21,#creative writing ideas,16,"Writing, Writing Prompts and Ideas"
22,#I,16,Miscellaneous
23,#writers,15,Writing Community
24,#twitter,13,Interactive and Engaging
25,#creative writing inspo,13,Writing Inspiration
26,#daily prompt,13,"Writing, Writing Prompts and Ideas"
27,#original prompt,12,"Writing, Writing Prompts and Ideas"
28,#imagine your ocs,12,"Writing, Writing Prompts and Ideas"
29,#dialogue prompts,9,"Writing, Writing Prompts and Ideas"
30,#i,9,Miscellaneous
31,#writing community,9,Writing Community
32,#inspo,9,Writing Inspiration
33,#dialogue,8,"Writing, Writing Prompts and Ideas"
34,#writblr,8,Writing Community
35,#writing tips,7,Writing Inspiration
36,#story prompts,7,"Writing, Writing Prompts and Ideas"
37,#blind date prompts,7,Specific Genres and Themes
38,#short prompt,7,"Writing, Writing Prompts and Ideas"
39,#writing inspo,7,Writing Inspiration
40,#writers of tumblr,7,Writing Community
41,#oc,6,"Writing, Writing Prompts and Ideas"
42,#inspiration,6,Writing Inspiration
43,#they,6,Miscellaneous
44,#my writing,6,Writing Community
