,blog_name,title,description,post_url,date (YYYY-MM-DD),hashtags,short_url,writing_prompt_id,writing_prompt,total_amount_notes,response_id,response,blog_name_response,type_of_response,reblog_parent_name,reblog,submission,original content,structure,prompt_type
0,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711852338627887104/youve-accidentally-summoned-the-devil-while,15-3-2023,,https://tmblr.co/ZCDX7hdX0UumSa00,wp001,"<p>You’ve accidentally summoned the Devil while cooking dinner, and he’s intrigued by your culinary skills. He challenges you to a high-stakes cook-off, with your soul on the line. If you win, you get a lifetime of unparalleled culinary prowess and the ability to impress anyone with your dishes. But if you lose, your soul is his. As you accept the challenge, you realize you’ll need to prepare the most extraordinary meal of your life.<br></p>",4245,wp001r001,"What, no golden offset spatula?",twelve-badgers-in-a-suit,reply,,no,no,yes,<p></p>,['text']
1,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711804624692281345/the-vampire-steps-out-and-his-daughters-cower-and,14-3-2023,"['writers', 'writers on tumblr', 'writing prompts', 'writeblr', 'writing inspiration']",https://tmblr.co/ZCDX7hdWreZiGu01,wp002,"<p>The vampire steps out, and his daughters cower and kneel where they stand. You ready yourself for the fight. Before you can raise your weapon, though, the vampire sighs, and with an embarrassed tone, says, “I’m really quite sorry for the trouble…”</p>",3667,wp002r001,And stealing this concept for a D&D one-shot xd,eziocauthon89,reply,,no,no,yes,<p></p>,['text']
2,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711799357025009664/human-society-has-collapsed-since-the-vanishings,14-3-2023,"['writers', 'writers on tumblr', 'writing prompts', 'writeblr', 'writing inspiration']",https://tmblr.co/ZCDX7hdWqRvoqy00,wp003,"<p>Human society has collapsed since the vanishings began. Anyone left alone, unseen or untouched by another person, stops existing. Those who remain now survive as herds, sleeping in huddled masses and always touching in some way while awake.</p>",3512,wp003r001,"So, there goes all the introverts…",therealyumistar,reply,,no,no,yes,<p></p>,['text']
3,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711794066287886336/as-a-retired-supervillian-youve-not-been-bothered',14-3-2023,"['writers', 'writers on tumblr', 'writing prompts', 'writeblr', 'writing inspiration']",https://tmblr.co/ZCDX7hdWpEwQKW00,wp004,"<p>As a retired supervillian you’ve not been bothered very much. One day a henchman who once worked under you knocks on your door, along with the old sidekick of your archnemisis. They’re in hiding from the hero and need your help.</p>",4787,wp004r001,my first thought was dannyphantom.exce on tiktok,icecream-sandwich,reply,,no,no,yes,<p></p>,['text']
4,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711788772836130816/youve-just-created-a-handheld-device-that-lets,14-3-2023,"['writers', 'writers on tumblr', 'writing prompts', 'writeblr', 'writing inspiration']",https://tmblr.co/ZCDX7hdWo1uW0a00,wp005,"<p>You’ve just created a handheld device that lets you slip into the interdimensional space between space and time. While there, you don’t age and, don’t experience time dilation and can travel long distances instantly. So, since you’re a very smart an imaginative person, you use it to sleep.</p>",5634,wp005r001,literally me,huntressofartemis001,reply,,no,no,yes,<p></p>,['text']
5,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711714046423023616/humans-are-the-proverbial-sleeping-giant-and,13-3-2023,"['writers', 'writers on tumblr', 'writing prompts', 'writeblr', 'writing inspiration']",https://tmblr.co/ZCDX7hdWX2U6iq00,wp006,"<p>Humans are the proverbial “Sleeping Giant,” and thus make remarkably good deterrents. A common tactic of the Galactic Federation is to simply call in a human warship, such as the USS “Fuck Around and, FindOut,” and simply let it sit nearby. Peace Talks happen within the week.</p>",5807,wp006r001,Nothing a good ole bomb can't fix,poisonousroxstar,reply,,no,no,yes,<p></p>,['text']
6,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711708743010861056/the-wizard-in-your-party-only-knows-one-spell,13-3-2023,"['writers', 'writers on tumblr', 'writing prompts', 'writeblr', 'writing inspiration']",https://tmblr.co/ZCDX7hdWVrIwiy00,wp007,"<p>The wizard in your party only knows one spell. It’s effective, but even the assassin feels bad about it.</p>",16002,wp007r001,"""Mind wipe""",thewirewitch,reply,,no,no,yes,<p></p>,['text']
7,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711703459146186752/you-are-a-spelunker-who-has-gone-too-far-into-an,13-3-2023,"['writers', 'writers on tumblr', 'writing prompts', 'writeblr', 'writing inspiration']",https://tmblr.co/ZCDX7hdWUePxqq00,wp008,"<p>You are a spelunker who has gone too far into an unexplored cave system. You have lost your team and are starting to lose hope. As your light begins to fade you hear a whisper, “We can help you if you turn off the lights.”</p>",4094,wp008r001,"Greg, is that you?",thewirewitch,reply,,no,no,yes,<p></p>,['text']
8,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711698179053191168/everyones-angels-and-devils-looming-over-their,13-3-2023,"['writers', 'writers on tumblr', 'writing prompts', 'writeblr', 'writing inspiration']",https://tmblr.co/ZCDX7hdWTRaTmW00,wp009,<p>Everyone’s Angels and Devils looming over their shoulders are real and visible. Generally speaking they appear as small humanoid pixies no larger than hummingbirds. So it’s odd that yours are both lumbering twelve foot tall primordial beings of biblically terrifying design.</p>,5019,wp009r001,"As everyone looks at you,but you have become accustomed to those gazes. Gazes that are filled with shock, terror, wonder and whatever outworldly expression you can imagine. But these reactions have started to annoy someone... So one day they whispered right in your ear..... Should I kill them??",inlovewithtokyorevengers,reply,,no,no,yes,<p></p>,['text']
9,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711623459603660801/due-to-a-series-of-unfortunate-accidents,12-3-2023,"['writers', 'writers on tumblr', 'writing prompts', 'writeblr', 'writing inspiration']",https://tmblr.co/ZCDX7hdWCSGZWi01,wp010,"<p>Due to a series of ""unfornate "" accidents, everyone in the city believes you are the secret identity of an up and coming supervillain. In truth you are a <i>retired</i> supervillain who faked their death years ago and now this upstart is going to get a taste of what true supervillainy looks like.</p>",6175,wp010r001,MEGA… WAIT FOR IT… MIND,sleepsheapnumber7638,reply,,no,no,yes,<p></p>,['text']
10,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711618148428824576/the-elven-children-have-a-ceremony-to-summon-their,12-3-2023,"['writers', 'writers on tumblr', 'writing prompts', 'writeblr', 'writing inspiration']",https://tmblr.co/ZCDX7hdWBE_8qa00,wp011,"<p>The elven children have a ceremony to summon their spirit animals. Most get unicorns, phoenixes, fire salamanders etc. One kid ends up summoning a human, smoking a cigar and sporting a hefty shotgun.</p>",6391,wp011r001,"Please don't use ""spirit animal"" in this way. It's really disrespectful to people who have this as a genuine spritual practice and a sacred part of their culture.",leebrontide,reply,,no,no,yes,<p></p>,['text']
11,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711612858711048193/look-said-the-demon-this-is-the-13th-time,12-3-2023,"['writers', 'writers on tumblr', 'writing prompts', 'writeblr', 'writing inspiration']",https://tmblr.co/ZCDX7hdWA1-j4e01,wp012,"<p>“Look,” said the demon. “This is the 13th time you’ve summoned me to sell your soul. My boss wants to know where you’re getting all these souls.”</p>",13569,wp012r001,Regeneration,eagllette,reply,,no,no,yes,<p></p>,['text']
12,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711607587321282560/the-genie-gleefully-fulfilled-your-poorly-worded,12-3-2023,"['writers', 'writers on tumblr', 'writing prompts', 'writeblr', 'writing inspiration']",https://tmblr.co/ZCDX7hdW8rILmW00,wp013,"<p>The genie gleefully fulfilled your poorly-worded wish, oblivious to how you would turn the tables on its attempt at trickery.</p>",2804,wp013r001,""" I'd like a lifetime supply of Rasberry Crowns """,eccentric-corvid,reply,,no,no,yes,<p></p>,['text']
